,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,LTIM,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,WIPRO
2021-05-27,1322.5872802734375,729.3970336914062,3157.712890625,2823.033203125,747.22998046875,3713.13427734375,1186.2113037109375,556.607421875,498.6691589355469,166.467041015625,3215.62255859375,907.6709594726562,95.37415313720703,3956.9755859375,1021.1633911132812,2482.704833984375,1376.437744140625,769.2788696289062,702.1649780273438,654.0394897460938,2518.93505859375,372.3717956542969,2139.369873046875,630.8480224609375,972.319091796875,1234.4290771484375,161.58543395996094,645.4531860351562,353.97119140625,1393.5281982421875,,790.481689453125,6679.25634765625,843.5004272460938,91.93231201171875,81.86482238769531,99.25880432128906,896.0255737304688,973.0188598632812,385.3924255371094,264.28106689453125,665.784423828125,618.697998046875,,94.40812683105469,2771.55908203125,855.964111328125,1569.8333740234375,6492.99169921875,249.86856079101562
2021-05-28,1299.443359375,753.4223022460938,3108.70361328125,2814.75341796875,736.773681640625,3672.383056640625,1168.6907958984375,549.6085205078125,502.31463623046875,167.76576232910156,3223.909423828125,899.96533203125,96.9246826171875,3996.795654296875,1006.76318359375,2515.50146484375,1423.35009765625,769.4014282226562,712.015625,658.8656005859375,2519.1455078125,374.2054443359375,2135.0478515625,621.9500122070312,984.3904418945312,1236.89404296875,162.92465209960938,652.9788818359375,358.651611328125,1389.064208984375,,806.9380493164062,6680.31005859375,832.2216186523438,90.80711364746094,82.23078155517578,98.01970672607422,949.8478393554688,967.8173828125,382.5372619628906,266.77447509765625,637.4684448242188,624.8033447265625,,94.9978256225586,2739.83447265625,861.3779296875,1552.84765625,6420.26123046875,248.852294921875
2021-05-31,1313.1103515625,747.0155639648438,3127.85302734375,2849.9775390625,747.5785522460938,3666.523681640625,1177.979736328125,551.2933959960938,513.1553955078125,167.94366455078125,3246.887451171875,914.4134521484375,97.45254516601562,4068.336181640625,1028.973876953125,2551.444580078125,1428.93505859375,771.5645751953125,717.8881225585938,655.8616943359375,2532.57666015625,380.4784240722656,2151.9228515625,641.0036010742188,978.25830078125,1240.1864013671875,165.75611877441406,672.95263671875,360.035888671875,1379.290771484375,,770.7816772460938,6791.7763671875,841.0693359375,92.0989990234375,83.18228149414062,98.10665893554688,979.5474853515625,966.6286010742188,384.6219787597656,262.1451110839844,636.0882568359375,633.293701171875,,96.90467071533203,2753.386962890625,857.5170288085938,1571.8028564453125,6526.80322265625,249.013916015625
2021-06-01,1412.818115234375,774.82666015625,3197.986328125,2805.468505859375,742.0517578125,3706.881591796875,1180.3345947265625,566.6577758789062,511.2365417480469,167.53448486328125,3245.851318359375,911.6201782226562,97.38656616210938,4093.654296875,1030.3985595703125,2541.5771484375,1403.050537109375,776.0542602539062,715.9227294921875,655.2213745117188,2506.682861328125,380.91265869140625,2168.705322265625,628.7686157226562,975.4093627929688,1234.35791015625,164.7230224609375,657.427978515625,357.9047546386719,1385.822265625,,769.2074584960938,6796.42529296875,844.0613403320312,91.84895324707031,86.0733413696289,97.56318664550781,983.4470825195312,957.3650512695312,392.05426025390625,258.75323486328125,638.7056884765625,635.1539306640625,,94.77400207519531,2748.02685546875,864.9451904296875,1567.027099609375,6423.0341796875,250.74623107910156
2021-06-02,1543.001953125,787.7371826171875,3231.349853515625,2779.338134765625,733.935546875,3755.939697265625,1179.7059326171875,568.9940795898438,507.9748229980469,168.88658142089844,3272.6904296875,919.5665893554688,98.37625885009766,4087.9794921875,1029.59423828125,2552.970458984375,1400.816650390625,770.380859375,712.2760620117188,665.7108764648438,2503.18798828125,384.86944580078125,2169.164794921875,627.0760498046875,992.7437744140625,1226.7501220703125,159.9401397705078,668.3614501953125,355.1363220214844,1382.43896484375,,769.1121826171875,6886.08740234375,839.0706787109375,92.6407699584961,86.18313598632812,98.88924407958984,998.1156005859375,975.2976684570312,396.3142395019531,262.1908874511719,644.7972412109375,642.5471801757812,,96.76692962646484,2727.50146484375,853.572021484375,1561.4140625,6416.07763671875,250.838623046875
2021-06-03,1579.263916015625,801.133056640625,3381.43701171875,2809.632568359375,747.52880859375,3736.963623046875,1179.331787109375,578.08935546875,510.4212341308594,168.61968994140625,3292.466064453125,913.3539428710938,98.34325408935547,4105.3916015625,1023.8186645507812,2638.776123046875,1416.842529296875,766.8709106445312,720.114013671875,668.2224731445312,2533.292724609375,385.2555236816406,2173.2578125,628.9136962890625,971.2568359375,1236.5380859375,159.9783935546875,675.9817504882812,361.3304443359375,1419.8416748046875,,765.153076171875,6909.8564453125,846.00537109375,93.18253326416016,89.65972900390625,98.3892593383789,1001.9243774414062,977.7249755859375,402.1686096191406,259.9266357421875,642.9412841796875,648.7003784179688,,96.59044647216797,2737.786865234375,851.3897094726562,1665.2984619140625,6462.29443359375,249.013916015625
2021-06-04,1696.828369140625,809.4326782226562,3336.524658203125,2799.629638671875,738.964599609375,3716.58837890625,1212.8363037109375,587.0963745117188,511.0447998046875,170.16749572753906,3285.92138671875,911.5720825195312,101.01547241210938,4133.91015625,1018.47900390625,2616.705322265625,1460.064208984375,764.5034790039062,710.8316040039062,670.635498046875,2567.01806640625,381.25042724609375,2153.761962890625,621.6115112304688,974.6851196289062,1232.978759765625,159.7488250732422,682.7028198242188,360.7329406738281,1444.9332275390625,,767.5857543945312,6914.84033203125,828.2957763671875,93.14083862304688,91.81888580322266,98.32403564453125,993.2412109375,980.0037841796875,396.6343994140625,260.9350280761719,641.4660034179688,655.3304443359375,,96.4785385131836,2739.96484375,855.4605712890625,1653.7777099609375,6484.283203125,250.00711059570312
2021-06-07,1620.3641357421875,852.872314453125,3272.511962890625,2807.478759765625,747.9769287109375,3716.325927734375,1180.1998291015625,561.2652587890625,514.642333984375,171.28831481933594,3336.11474609375,905.21484375,103.09381103515625,4103.208984375,1011.54052734375,2626.09619140625,1457.8787841796875,775.1561279296875,710.3107299804688,669.8475341796875,2570.26025390625,381.20220947265625,2151.232666015625,626.9309692382812,990.039794921875,1236.5380859375,161.81503295898438,677.543701171875,361.4698791503906,1463.9635009765625,,766.8702392578125,6973.25732421875,833.3220825195312,97.0165023803711,91.59931182861328,102.71524810791016,1009.9727172851562,979.3597412109375,395.39947509765625,272.71490478515625,642.798583984375,667.7320556640625,,97.16724395751953,2774.34814453125,868.2186279296875,1659.2919921875,6664.62744140625,253.26388549804688
2021-06-08,1632.484375,848.6011352539062,3246.995361328125,2800.92236328125,743.2466430664062,3733.946533203125,1170.6763916015625,563.77783203125,524.571533203125,173.4409637451172,3391.817138671875,918.6515502929688,102.92888641357422,4114.12158203125,1022.3067626953125,2635.010498046875,1459.9669189453125,789.5231323242188,702.3544921875,679.3028564453125,2573.375732421875,374.2054443359375,2169.348876953125,621.3212890625,985.1630249023438,1257.2711181640625,163.4986114501953,669.7340698242188,357.2176818847656,1455.8345947265625,,770.6861572265625,7031.81787109375,830.9479370117188,96.84980773925781,91.34314727783203,101.75875091552734,1004.1689453125,970.7896728515625,390.7800598144531,273.01739501953125,646.03466796875,677.748779296875,,95.652099609375,2789.12109375,887.8173217773438,1686.272216796875,6610.86962890625,254.3494415283203
2021-06-09,1590.785888671875,827.6336059570312,3263.233154296875,2817.481201171875,733.6865844726562,3694.244873046875,1153.2904052734375,555.853271484375,518.0479736328125,172.58702087402344,3366.343505859375,923.3712158203125,103.19278717041016,4139.58544921875,1012.2384643554688,2601.879638671875,1449.1859130859375,792.8697509765625,701.0520629882812,674.5752563476562,2546.05029296875,369.76611328125,2166.59033203125,615.22802734375,969.13232421875,1259.362060546875,162.61856079101562,660.5991821289062,355.0964660644531,1427.7825927734375,,767.4426879882812,6938.1298828125,834.4910888671875,98.43341064453125,90.79419708251953,105.25868225097656,986.2129516601562,989.3662719726562,385.52020263671875,263.47430419921875,640.4189453125,670.49853515625,,94.78260803222656,2789.208251953125,883.2008666992188,1704.24267578125,6543.10009765625,251.3929901123047
