,Open,High,Low,Close,Volume
2025-05-27,234.17533624175735,234.17533624175735,230.44711705295632,231.9839324951172,9712093
2025-05-28,232.07881125887002,232.74286644215235,228.91030904483904,230.2099609375,7385958
2025-05-29,231.0922174852382,232.04087188464342,228.95774508657644,230.5609588623047,12938112
2025-05-30,230.5609504296201,232.60056599893355,226.62404060620648,227.10784912109375,10108840
2025-06-02,226.72839585695476,227.76242565268655,225.45720246723036,226.07382202148438,6278145
2025-06-03,228.15138416899538,228.67314698627487,224.45163778340893,225.0872344970703,9515918
2025-06-04,225.77974334082546,226.25407053271795,223.408107381363,225.82717895507812,6733580
2025-06-05,225.82719129781938,227.31657123459996,224.09115194357037,225.5615692138672,8941808
2025-06-06,225.58051356555407,228.12291477380285,225.31489150316764,227.7339630126953,5985346
2025-06-09,229.36565096634936,231.58549870399904,228.15137453847348,230.33328247070312,7719525
2025-06-10,231.70884579492756,232.42033662131934,230.13407595843742,232.11676025390625,7659657
2025-06-11,231.94600343378272,237.5430586672112,231.0447846386127,234.6212158203125,20842417
2025-06-12,238.58657475895447,242.09659304324748,234.08046648815912,235.15245056152344,35613271
2025-06-13,242.42864132096753,242.8080973010238,236.32878583810452,238.5960693359375,39320377
2025-06-16,240.94873006328888,244.27850171044133,239.24114929219132,243.60496520996094,41444122
2025-06-17,243.74725480991415,243.88954717450866,238.6340083626097,239.35498046875,18781097
2025-06-18,240.98667153979204,242.75116926960558,236.94540908294297,237.50511169433594,12691905
2025-06-19,237.63792232502314,240.00955827637068,235.45601435472,238.64349365234375,10790997
2025-06-20,239.30754044515905,240.24671346012505,236.54696729568312,238.95654296875,15907673
2025-06-23,240.01902927442853,242.37170245909323,237.47664259220514,238.4727325439453,16776881
2025-06-24,234.79196700318118,235.26629420924823,230.98786802163792,231.39578247070312,22215004
2025-06-25,231.47166732244997,232.70492090406742,229.10003138676916,229.48898315429688,13056178
2025-06-26,229.57437722996826,232.77133809896148,229.13798981320107,232.16419982910156,15769123
2025-06-27,232.42979967017774,233.57767781559713,229.57435525600022,230.3617401123047,21691960
2025-06-30,231.47167464346228,233.0843842356688,230.5230202391858,231.6708984375,8783448
2025-07-01,232.70491863033175,232.70491863033175,228.9103011703192,230.87400817871094,8470489
2025-07-02,230.42814822875704,231.23451025978994,227.86678424094285,228.69212341308594,10419419
2025-07-03,229.5743747632324,233.5587205210844,229.38464677006195,231.5191192626953,13891239
2025-07-04,232.61005597173067,232.8472195717172,230.05817331982476,232.64801025390625,7717259
2025-07-07,232.89465907644274,232.89465907644274,228.4644446917416,229.1190185546875,9222263
2025-07-08,229.963317013767,231.1870748229459,228.29367600240056,230.75070190429688,7537067
2025-07-09,230.8550567626953,232.031378968416,229.8305082615299,230.8550567626953,9590680
2025-07-10,231.00683155505428,232.12625129274087,229.88742629268526,230.6083984375,8012201
2025-07-11,230.5704366142865,230.60837641815198,228.43596438277754,229.34666442871094,5608382
2025-07-14,230.42815859042855,232.31598614455376,228.75853198058883,231.68038940429688,7568906
2025-07-15,231.92700754808737,232.7713093264252,230.2384039914117,231.15859985351562,7843083
2025-07-16,231.47166879311624,231.61396116003434,229.85895924167022,230.38072204589844,5656962
2025-07-17,230.52301820317822,232.00291674472808,230.3522673600689,231.3483428955078,7006298
