,Open,High,Low,Close,Volume
2025-05-27,660.7909812200402,662.9679028306332,650.1043465070537,654.9529418945312,2493252
2025-05-28,654.952932012422,656.9319406477282,647.135823745142,648.8179931640625,3244100
2025-05-29,648.8179766928364,652.7759938629686,641.2977078328556,645.4041748046875,4173868
2025-05-30,636.3502287464441,648.0758916305334,630.5616524074687,632.6395874023438,6693573
2025-06-02,631.6006366387048,641.0999149680102,618.4402404018641,635.8060302734375,4344402
2025-06-03,641.1988519270633,651.8360242391249,635.360751802621,641.4462280273438,5336167
2025-06-04,643.1283162230271,654.9033808699278,633.2827365985618,634.4701538085938,6290382
2025-06-05,640.20924288394,647.927363872256,631.4026309955697,644.612548828125,4542850
2025-06-06,647.1358432845986,683.6485778662754,637.5376390346474,681.0263671875,20115034
2025-06-09,692.6530198586363,708.3861626103884,684.9843614244871,690.6740112304688,11413586
2025-06-10,697.6005851322757,698.540626368457,683.4506846333262,693.0488891601562,6453133
2025-06-11,694.7309585175543,694.7309585175543,677.1672568475815,678.8494262695312,4586055
2025-06-12,681.768520020089,682.7580244032821,659.6035976787402,661.0383911132812,4970089
2025-06-13,645.008362830764,663.314192637144,636.7460259678667,660.1478271484375,4687026
2025-06-16,661.9783649493295,674.099792409164,661.5825390785359,669.0533447265625,6882573
2025-06-17,672.6650378873137,672.6650378873137,655.0518727238017,658.0203857421875,2390137
2025-06-18,656.0907979768378,666.4311297376456,652.2317675380258,655.1507568359375,3352972
2025-06-19,653.8149862736409,661.9783969989645,641.1988060617772,645.354736328125,3342726
2025-06-20,645.1567781496789,663.8584328397507,643.6725217582302,659.3561401367188,7441267
2025-06-23,654.8539558195413,659.2077990446832,641.495647317533,654.70556640625,4243520
2025-06-24,666.9258740405165,674.8419081537571,666.3321956398424,668.954345703125,4823566
2025-06-25,668.9543844460186,670.8839299517813,663.9573997015416,668.0143432617188,3211981
2025-06-26,668.0638735874257,700.1237776921289,667.1732955312319,695.8194580078125,19068571
2025-06-27,695.6710159642996,699.480643919922,689.2887008758184,692.6035766601562,7554681
2025-06-30,692.6530110016121,706.5060712216443,692.5540847292889,699.4310913085938,3721603
2025-07-01,700.5690830406751,703.0923070659364,686.716022076594,689.1403198242188,3524637
2025-07-02,688.4476027088464,691.5150418185764,667.9153889018631,669.7954711914062,3288839
2025-07-03,674.4460965132166,677.0683070263445,665.886920684505,668.3112182617188,6014549
2025-07-04,668.8554317911656,677.2167550566551,662.9678692317649,669.0533447265625,3843226
2025-07-07,669.0533434229717,672.8629107451062,661.9783636595237,664.2542114257812,1770086
2025-07-08,664.9469313034936,670.2902790164324,660.2962487229067,661.928955078125,2820100
2025-07-09,664.2047860821021,675.8314620395914,663.9574099979003,673.9019165039062,3560120
2025-07-10,676.8209517904494,680.1357670894976,663.957395689169,664.6995239257812,3035156
2025-07-11,671.9056358580013,672.6014082649151,658.388031947169,664.2025756835938,4931083
2025-07-14,665.9419672539893,668.8244269008333,658.4873929936836,665.6934814453125,2832157
2025-07-15,670.8122978210398,683.8329296277011,666.6377241989376,680.304443359375,3786182
2025-07-16,669.9177444963337,669.9177444963337,650.5358512950303,664.3019409179688,9358644
2025-07-17,665.941923919443,667.929810259501,660.8230923276028,661.4194946289062,2671888
2025-07-18,665.9419402957978,666.4389118930335,640.5963888367787,641.59033203125,6570609
2025-07-21,641.5903461311821,654.0146363351166,633.6388004006639,651.6788940429688,4980207
2025-07-22,654.0146280330939,655.903144386311,635.1297071628373,636.2727661132812,4671422
2025-07-23,638.111558139242,650.7843344106989,634.1854702200866,650.0885620117188,5191770
2025-07-24,656.0025175135884,656.0025175135884,627.92362187759,629.7127075195312,7248079
2025-07-25,621.2145392021436,626.134570485721,598.0556733137842,612.1199340820312,16922561
2025-07-28,612.1199052849115,634.9805992520713,607.3489899813827,629.6133422851562,11583112
2025-07-29,628.1721272743927,639.4533587749161,622.7551244867942,634.483642578125,6858651
2025-07-30,631.153911222203,634.4835965663973,622.3077927672288,628.9672241210938,6024759
2025-07-31,621.2145091945063,635.5770007801791,619.2763077927235,627.029052734375,6481051
2025-08-01,626.1842097025625,628.1720960825705,608.5417180799902,610.4799194335938,3528632
2025-08-04,612.1696237587657,623.0035679317626,612.1696237587657,621.1151123046875,2955463
2025-08-05,626.6811708715154,629.3648295729741,617.3878264657812,626.2835693359375,3996694
2025-08-06,630.1600098724805,635.924868492161,618.6302926331194,626.7805786132812,4763826
2025-08-07,623.053260341819,625.9854048663856,614.5550582555662,623.5502319335938,3482599
2025-08-08,619.5248083355505,623.0532946986258,604.2678038929449,605.95751953125,5493423
2025-08-11,606.7526562767746,619.723603282142,605.4605422121693,613.8593139648438,3348109
2025-08-12,612.2689903714277,615.2508198699899,607.2992745404908,608.19384765625,2787285
2025-08-13,608.3429254167771,617.5865850739173,606.6532098381545,615.4993286132812,5325700
2025-08-14,610.5793064098189,619.1272544800639,607.7962775337659,612.71630859375,4279172
2025-08-18,623.2024018522437,633.6388057110133,621.6618019871404,623.0036010742188,5265058
